icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
00845,A0471,1,0,0,0,0
00845,A0472,1,0,0,0,0
00846,A048,1,0,0,0,0
00847,A048,1,0,0,0,0
00849,A048,1,0,0,0,0
0085,A049,0,0,0,0,0
00861,A080,0,0,0,0,0
00862,A082,0,0,0,0,0
00863,A0811,1,0,0,0,0
00864,A0819,1,0,0,0,0
00865,A0831,0,0,0,0,0
00866,A0832,0,0,0,0,0
00867,A0839,1,0,0,0,0
00869,A0839,1,0,0,0,0
0088,A088,1,0,0,0,0
0090,A09,1,0,0,0,0
0091,A09,1,0,0,0,0
0092,A09,1,0,0,0,0
0093,A09,1,0,0,0,0
01000,A157,1,0,0,0,0
01001,A157,1,0,0,0,0
01002,A157,1,0,0,0,0
01003,A157,1,0,0,0,0
01004,A157,1,0,0,0,0
01005,A157,1,0,0,0,0
01006,A157,1,0,0,0,0
01010,A156,1,0,0,0,0
01011,A156,1,0,0,0,0
01012,A156,1,0,0,0,0
01013,A156,1,0,0,0,0
01014,A156,1,0,0,0,0
01015,A156,1,0,0,0,0
01016,A156,1,0,0,0,0
01080,A157,1,0,0,0,0
01081,A157,1,0,0,0,0
01082,A157,1,0,0,0,0
01083,A157,1,0,0,0,0
01084,A157,1,0,0,0,0
01085,A157,1,0,0,0,0
01086,A157,1,0,0,0,0
01090,A157,1,0,0,0,0
01091,A157,1,0,0,0,0
01092,A157,1,0,0,0,0
01093,A157,1,0,0,0,0
01094,A157,1,0,0,0,0
01095,A157,1,0,0,0,0
01096,A157,1,0,0,0,0
01100,A150,1,0,0,0,0
01101,A150,1,0,0,0,0
01102,A150,1,0,0,0,0
01103,A150,1,0,0,0,0
01104,A150,1,0,0,0,0
01105,A150,1,0,0,0,0
01106,A150,1,0,0,0,0
01110,A150,1,0,0,0,0
01111,A150,1,0,0,0,0
01112,A150,1,0,0,0,0
01113,A150,1,0,0,0,0
01114,A150,1,0,0,0,0
01115,A150,1,0,0,0,0
01116,A150,1,0,0,0,0
01120,A150,1,0,0,0,0
01121,A150,1,0,0,0,0
01122,A150,1,0,0,0,0
01123,A150,1,0,0,0,0
01124,A150,1,0,0,0,0
01125,A150,1,0,0,0,0
01126,A150,1,0,0,0,0
01130,A155,1,0,0,0,0
01131,A155,1,0,0,0,0
01132,A155,1,0,0,0,0
01133,A155,1,0,0,0,0
01134,A155,1,0,0,0,0
01135,A155,1,0,0,0,0
01136,A155,1,0,0,0,0
01140,A150,1,0,0,0,0
01141,A150,1,0,0,0,0
01142,A150,1,0,0,0,0
01143,A150,1,0,0,0,0
01144,A150,1,0,0,0,0
01145,A150,1,0,0,0,0
01146,A150,1,0,0,0,0
01150,A150,1,0,0,0,0
01151,A150,1,0,0,0,0
01152,A150,1,0,0,0,0
01153,A150,1,0,0,0,0
01154,A150,1,0,0,0,0
01155,A150,1,0,0,0,0
01156,A150,1,0,0,0,0
01160,A150,1,0,0,0,0
01161,A150,1,0,0,0,0
01162,A150,1,0,0,0,0
01163,A150,1,0,0,0,0
01164,A150,1,0,0,0,0
01165,A150,1,0,0,0,0
01166,A150,1,0,0,0,0
01170,A150,1,0,0,0,0
01171,A150,1,0,0,0,0
01172,A150,1,0,0,0,0
01173,A150,1,0,0,0,0
01174,A150,1,0,0,0,0
01175,A150,1,0,0,0,0
01176,A150,1,0,0,0,0
01180,A150,1,0,0,0,0
01181,A150,1,0,0,0,0
01182,A150,1,0,0,0,0
01183,A150,1,0,0,0,0
01184,A150,1,0,0,0,0
01185,A150,1,0,0,0,0
01186,A150,1,0,0,0,0
01190,A150,1,0,0,0,0
01191,A150,1,0,0,0,0
01192,A150,1,0,0,0,0
01193,A150,1,0,0,0,0
01194,A150,1,0,0,0,0
01195,A150,1,0,0,0,0
01196,A150,1,0,0,0,0
01200,A156,1,0,0,0,0
01201,A156,1,0,0,0,0
01202,A156,1,0,0,0,0
01203,A156,1,0,0,0,0
01204,A156,1,0,0,0,0
01205,A156,1,0,0,0,0
01206,A156,1,0,0,0,0
01210,A154,1,0,0,0,0
01211,A154,1,0,0,0,0
01212,A154,1,0,0,0,0
01213,A154,1,0,0,0,0
01214,A154,1,0,0,0,0
01215,A154,1,0,0,0,0
01216,A154,1,0,0,0,0
01220,A155,1,0,0,0,0
01221,A155,1,0,0,0,0
01222,A155,1,0,0,0,0
01223,A155,1,0,0,0,0
01224,A155,1,0,0,0,0
01225,A155,1,0,0,0,0
01226,A155,1,0,0,0,0
01230,A155,1,0,0,0,0
01231,A155,1,0,0,0,0
01232,A155,1,0,0,0,0
01233,A155,1,0,0,0,0
01234,A155,1,0,0,0,0
01235,A155,1,0,0,0,0
01236,A155,1,0,0,0,0
01280,A158,1,0,0,0,0
01281,A158,1,0,0,0,0
01282,A158,1,0,0,0,0
01283,A158,1,0,0,0,0
01284,A158,1,0,0,0,0
01285,A158,1,0,0,0,0
01286,A158,1,0,0,0,0
01300,A170,1,0,0,0,0
01301,A170,1,0,0,0,0
01302,A170,1,0,0,0,0
01303,A170,1,0,0,0,0
01304,A170,1,0,0,0,0
01305,A170,1,0,0,0,0
01306,A170,1,0,0,0,0
01310,A171,1,0,0,0,0
01311,A171,1,0,0,0,0
01312,A171,1,0,0,0,0
01313,A171,1,0,0,0,0
01314,A171,1,0,0,0,0
01315,A171,1,0,0,0,0
01316,A171,1,0,0,0,0
01320,A1781,1,0,0,0,0
01321,A1781,1,0,0,0,0
01322,A1781,1,0,0,0,0
01323,A1781,1,0,0,0,0
01324,A1781,1,0,0,0,0
01325,A1781,1,0,0,0,0
01326,A1781,1,0,0,0,0
01330,A1781,1,0,0,0,0
01331,A1781,1,0,0,0,0
01332,A1781,1,0,0,0,0
01333,A1781,1,0,0,0,0
01334,A1781,1,0,0,0,0
